Species,longitude,latitude
Anolis_chlorocyanus,-71.3,18.95
Anolis_chlorocyanus,-68.866,18.966
Anolis_chlorocyanus,-70.4208,18.9925
Anolis_chlorocyanus,-69.3956,18.9949
Anolis_chlorocyanus,-72.7333,19
Anolis_chlorocyanus,-69.696,19.0014
Anolis_chlorocyanus,-69.385,19.021
Anolis_chlorocyanus,-70.066,19.034
Anolis_chlorocyanus,-72.7715,19.0736
Anolis_chlorocyanus,-70.476,19.149
Anolis_chlorocyanus,-70.5772,19.1592
Anolis_chlorocyanus,-70.3903,19.1739
Anolis_chlorocyanus,-70.589,19.178
Anolis_chlorocyanus,-70.417,19.206
Anolis_chlorocyanus,-69.681,19.251
Anolis_chlorocyanus,-69.7528,19.2517
Anolis_chlorocyanus,-70.8965,19.2651
Anolis_chlorocyanus,-71.555,19.272
Anolis_chlorocyanus,-71.561,19.274
Anolis_chlorocyanus,-69.5531,19.2778
Anolis_chlorocyanus,-71.6167,19.2992
Anolis_chlorocyanus,-71.233,19.501
Anolis_chlorocyanus,-72.4388,19.5164
Anolis_chlorocyanus,-70.6156,19.5542
Anolis_chlorocyanus,-71.7857,19.5681
Anolis_chlorocyanus,-71.8242,19.6333
Anolis_chlorocyanus,-71.8533,19.6333
